e,wl,wp,ccq,phicq,Es
0.95,38.8,21,21,13.5,3.17
0.867,32.1,19.8,14,23.5,4.71
0.947,42.7,22.5,19,14,3.06
1.063,42.4,21.4,17,14,2.53
0.863,35.3,20.3,20,16,4.58
0.843,34.9,18.3,19,17.5,3.56
0.93,36.3,19.8,19,16,3.97
0.92,36.4,20.3,19,15.5,3.68
0.885,35.1,19.5,26,16,3.29
1.014,37.5,20.6,17,17.5,3.14
0.95,39.7,21.5,19,12.5,3.46
0.899,43.6,23.6,29,14,3.8
0.81,34.6,19.6,29,19.5,4.64
0.94,38.8,21.8,19,16,3.09
0.784,33.5,19.1,30,22.5,6.31
0.906,39,21.7,21,16,3.29
0.932,42.6,22,21,16,4.34
0.969,44,23.6,21,17,4.03
0.917,39.9,20,24,15,5.52
0.803,32.9,19,17,23.5,5.06
0.813,35.7,20.1,27,17,5.7
0.859,36,20.3,26,17,4.73
0.875,39.1,20.3,29,15.5,4.33
0.972,43.1,21,21,15.5,3.25
0.994,44,21.3,23,15.5,4.11
1.055,42.9,21.1,19,12.5,3.52
0.969,39.4,20.9,21,14,3.35
0.944,41.9,22.7,17,15.5,4.04
0.937,38.7,21.4,24,16,3.74
0.801,33.9,19.5,27,17.5,5.17
1.091,41.5,21.1,19,17.5,3.28
0.813,33.3,18,27,20.5,6.47
0.911,41.2,21.4,20,13.5,3.61
0.921,35.6,19.1,19,15,3.28
0.902,44.6,22.6,24,15.5,4.06
0.994,41.9,22.9,19,16,3.42
0.971,36.8,21.1,20,20.5,3.13
0.971,41.2,22.5,23,17,3.47
0.993,39.2,21.8,19,16,3.3
0.865,36,19.5,24,17.5,4
1.023,38,22.3,19,15.5,3.01
0.92,37.1,22.3,19,17,3.74
0.983,38.2,22.2,19,19,3.48
0.911,41.8,23.7,23,15.5,3.9
0.968,42.6,23.5,21,16,3.69
0.85,39.8,21.7,24,15,4.48
0.801,35.3,20,27,21,6.65
0.916,33.8,20.7,14,21,5.75
0.939,38.9,21.7,23,15.5,3.03
0.918,37.2,20.6,20,15.5,3.23
0.964,36.3,21.1,29,20.5,3.5
0.959,38.9,22,16,17.5,3.71
0.902,33.3,18.6,17,15.5,4.65
1.102,39,20.1,17,10,3.99
0.901,37.8,21.1,19,12,3.5
0.907,37.2,21.6,24,19,4.09
1.094,40.8,20.8,17,16,2.84
0.974,36.3,20.5,19,21,3.6
1.019,35.5,19.9,13,17,3.24
1.038,34.7,22.4,10,23,3.29
