e,wl,wp,ccq,phicq,Es
0.683,33.1,18.4,46,18.5,7.25
0.679,33.2,18.5,46,19,7.47
0.689,34.7,18.8,54,21,7.29
0.731,37.3,20.4,49,16,8.77
0.727,38.3,20,43,16,6.63
0.743,34.9,18.6,43,17,8.22
0.7,33.9,18.6,43,16,8.53
0.693,32.5,17.9,43,16,6.63
0.759,39.6,20,43,21.5,6.08
0.729,35.3,19.4,50,17.5,8.51
0.714,37.3,20.4,53,17,6.13
0.667,33,18.7,57,17,8.59
0.742,32,17.6,49,17,7.79
0.692,31.7,17.5,57,18.5,8.61
0.698,32.1,17.3,53,17.5,7.21
0.745,37.1,20.3,53,17,8.99
0.707,32.9,18.4,47,17,7.38
0.672,31.1,17,57,17,7.37
0.736,35.1,18.8,43,14,6.67
0.734,36.5,20.4,47,18.5,8.85
0.687,31.5,17,51,18.5,8.03
0.704,33.3,18,53,19.5,7.63
0.697,31.7,16.8,53,17,6.59
0.732,30.5,16.1,47,15.5,6.72
0.69,34,19.3,57,18.5,8.06
0.696,33.8,19.4,53,17,8.7
0.719,33.7,19.4,43,14,6.57
0.756,32.7,17.7,43,16,6.44
0.731,34.3,19.3,43,14,6.84
0.744,32.2,17,43,14,6.25
0.76,33.2,17.8,43,15,7.64
0.739,33.5,18.4,43,14,6.56
0.809,34.4,20.3,43,14,6.47
0.753,36.7,21.6,43,17,8.46
0.692,32.6,18.2,49,17,6.22
0.709,35.3,20.4,43,15.5,8.23
0.754,37.2,20.9,43,14,6.58
0.737,37.5,20.5,43,15,7.25
0.667,33.9,19.3,57,15,7.09
0.774,34.5,19.5,51,17.5,8.16
0.75,34.2,19,43,15.5,5.69
0.708,34.6,19.3,43,14,6.25
0.723,34,19.7,53,17,7.6
0.675,33.3,18.5,47,16,6.51
0.721,36.1,21,53,17,8.07
0.751,34.9,19.6,43,15.5,8.22
0.712,34.4,19.4,47,15.5,7.15
0.811,35.3,19.6,43,17,5.83
0.754,33.9,17.2,46,19,6.49
0.702,31.3,17.1,47,14,8.83
0.698,33.3,18.8,47,19.5,7.17
0.705,32.4,16.9,46,15.5,7.86
0.736,32.9,17.7,43,15.5,6.77
0.652,32.7,18.2,53,17.5,8.46
0.665,31.7,17.1,51,19,7.97
0.72,33.2,18.2,49,18.5,6.74
0.715,33.9,19,43,17,7.56
0.721,33.7,19.6,46,15,6.27
0.674,31.7,17.6,47,16,6.8
0.673,32.9,18.6,49,15.5,7.33
0.736,33.3,18.8,47,17,7.39
0.691,35.6,20.3,47,15,6.37
0.701,33.1,18.2,43,14,7.49
0.73,34.7,19.5,47,17,6.21
0.71,34.8,20.4,47,15,6.38
0.683,32.7,17.1,50,17,8.34
0.702,37.9,21.7,49,15.5,8.02
0.665,33.8,18.2,49,17.5,7.33
0.684,33.5,18.5,47,21,7.8
0.712,33,18.5,50,20.5,6.6
0.684,35,19.4,50,19,6.36
0.711,33.1,18.5,43,17,5.59
0.722,35,19,49,18.5,6.96
0.702,33.9,18.6,51,16,6.95
0.733,35.1,19.3,46,17,5.95
0.705,34,19.1,49,17,8.06
0.762,35.8,20.6,51,19,7.92
0.743,35,20.4,46,14,5.29
0.746,35.2,20.3,46,15,6.61
0.643,31.4,16.7,47,21,7.26
0.665,34.8,20.1,43,15.5,8.17
0.699,32.2,17.8,53,21,7.54
0.695,33.2,17.8,46,16,7.78
0.703,33.4,19.1,50,21.5,8.88
0.702,34.3,18.7,46,19,8.08
0.679,34.8,17.8,46,17.5,8.05
0.701,35.3,18.8,46,21,8.16
0.719,33.7,17.9,43,17.5,7.25
0.691,33.4,19.1,43,16,8.05
0.673,31.9,17.3,43,19.5,7.98
0.664,32,16.6,43,17.5,8.02
0.653,32.8,18.5,43,21,9.74
0.669,31,16.8,43,16,8.82
0.672,34.2,19.3,49,19,7.06
0.681,33.3,17.9,53,19,8.09
0.689,34.8,19.6,49,17.5,9.35
0.682,33.3,18.9,50,18.5,6.84
0.673,34.5,19.9,47,18.5,9.85
0.68,34.5,19.1,50,17,7.87
0.702,34.3,18.7,46,19,8.08
0.673,31.9,17.3,43,19.5,7.98
0.664,32,16.6,43,17.5,8.02
0.714,40.1,20,46,15.5,8.09
0.744,38.5,20.9,43,13.5,8.08
0.848,40.1,20.5,40,12.5,6.65
0.813,31.3,17.2,43,17,6.97
0.79,34.9,18.4,43,18.5,5.55
0.823,38.4,21.6,41,15.5,5.88
0.643,31.2,16.9,43,19,10.23
0.735,36.9,20.2,43,17,7.89
0.777,33,18.8,43,16,8.31
0.884,37.8,20.3,36,18.5,8.96
0.764,40.5,22.8,36,14,9.68
0.708,36.1,20,51,19,7.54
0.768,37.2,21.1,46,17.5,7.07
0.756,35.9,19.1,50,15.5,6.73
0.81,37.1,20.6,46,15,8.81
0.777,37.2,20.3,46,15.5,8.49
0.735,35.1,18.8,50,15,7.86
0.741,34.5,18.7,50,17.5,7.77
0.704,38.2,22.7,57,17.5,8.69
0.777,34.4,18.5,43,15.5,5.96
0.81,32.1,17.8,36,17.5,6.12
0.763,34.3,18.5,50,18.5,7.65
0.8,33,20,36,22.5,8.01
0.649,33,18.2,57,22.5,9.66
0.809,37.7,22.2,43,14,9.05
0.793,36,19.9,46,15,6.6
0.755,37.4,22.3,43,15.5,8.7
0.803,35.6,20.5,50,19,6.92
0.679,32.6,18,46,17,7.95
0.676,32.7,18.1,43,20.5,6.11
0.665,33.4,19.1,47,19,6.08
0.664,33.9,19,47,18.5,7.76
0.704,34.1,19.3,47,15,6.05
0.641,34.1,19.7,46,20.5,7.2
0.637,32.4,17.8,50,18.5,10.18
0.794,38.1,22.8,43,15.5,7.49
0.875,38.8,21.9,43,17,5.25
0.687,36.6,20.3,53,14,8.84
0.694,32.7,18.1,47,14,6.29
0.721,34,19.3,43,15.5,5.98
0.786,34.9,20,43,15,5.7
0.84,38.3,21.9,43,15,6.73
0.855,34.6,19.9,36,18.5,6.33
0.74,35.7,21.4,43,17,8.18
0.761,36.6,21,43,15.5,9.23
0.79,37.8,22,47,15,6.25
0.707,32.3,18.2,43,15,5.27
0.767,38.6,21.6,43,15,5.92
0.753,38.6,21.8,46,15.5,9.54
0.889,36,20.5,36,17,5.07
0.698,39.4,22.6,43,19,8.65
0.685,40.1,22.1,49,17.5,7.77
0.7,36.1,21,43,18.5,9.34
0.763,40.3,21.7,43,19,7.57
0.788,37,20.1,43,14,7.01
0.781,39.8,21.1,43,15.5,7.56
0.73,38.2,22.4,43,18.5,9.75
0.764,39.4,22.7,43,19.5,7.49
0.853,38.7,22.1,43,16,6.26
0.736,38.2,22,43,18.5,7.84
0.793,40.4,22.9,43,16,7.66
0.727,38.7,22,43,18.5,5.82
0.724,39.6,22.3,43,16,9.02
0.731,40.7,21.1,47,18.5,9.76
0.752,39.2,22.7,43,17,9.21
0.838,39.1,20.7,43,17.5,8.12
0.719,37.2,22,46,21,8.1
0.779,34.3,18.9,43,19,8.68
0.811,38,21.3,43,17.5,4.99
0.814,35.4,21.3,43,20.5,7.2
0.846,34.2,19.2,43,18.5,6.88
0.684,33.5,19.4,43,19.5,9.13
0.796,35,20.7,36,17,7.16
0.634,31.8,17,54,16,9.67
0.771,34.5,19.9,50,21,7.49
0.74,37.1,20.8,47,19,9.74
0.853,36.6,20.6,40,18.5,8.42
0.666,33.8,18.5,50,21,8.89
0.855,35.6,20.5,43,17,6.54
0.712,34.9,20.5,51,18.5,8.99
0.796,37.5,20.7,51,15.5,8.59
0.662,33.2,19.1,43,19,7.29
0.653,34.5,19.9,49,19.5,7.2
0.673,33,18.7,49,20.5,9.95
0.691,32.8,18.5,43,17,7.94
0.77,36,20.4,46,17,8.63
0.668,36.2,21.2,47,21,7.37
0.762,33.9,19.8,47,16,6.98
0.698,38.6,21.4,43,15,7.23
0.775,36.3,19.6,41,18.5,7.53
0.662,35.7,19.5,43,17.5,6.99
0.778,36.8,21.4,46,17,6.06
0.72,33.6,18.9,53,19,7.49
0.675,35.6,20.6,43,18.5,8.43
0.669,36.7,20.1,53,19.5,8.47
0.723,34.5,18.7,50,18.5,8.17
0.702,35.1,20.3,54,15.5,7.78
0.75,34.1,18.3,50,15,8.86
0.694,38.2,22,57,15,8.55
0.715,32.4,16.8,47,18.5,7.48
0.648,35,19.1,46,17,8.6
0.642,35,19.3,57,18.5,9.66
0.631,32.5,17.9,57,21.5,10.21
0.73,37.8,21.9,47,18.5,8.65
0.945,31.9,19.7,17,23.5,6.01
0.887,32.9,19.2,16,23.5,5.22
0.826,32.6,19.5,17,23.5,5.69
0.891,36.2,21.7,19,19.5,6.19
0.947,35.3,20.4,20,19.5,5.62
0.944,36.6,20.9,21,18.5,6.26
0.93,33.5,19.7,17,21,6.16
0.882,31.6,18.9,14,23,5.26
0.888,32,19.6,14,22.5,6.06
0.905,36.1,20.6,21,22.5,5.13
0.921,36.6,21.7,21,19,5.36
0.899,37.6,22.9,20,17,6.21
0.824,33.9,20.1,14,23.5,6.19
0.912,37.4,22.6,21,19,5.05
0.971,35.6,21,16,18.5,4.63
1.028,36.7,20.3,17,17.5,4.39
0.846,31.5,18.9,14,23.5,6.33
0.842,31.3,18.9,14,23,6.99
0.931,36.1,21.7,21,16,5.71
0.877,31.3,17.9,14,22.5,7.09
0.858,34.6,20.7,17,21,6.67
0.868,32.1,19.8,14,23,5.25
0.844,29.7,17.3,16,24,5.65
0.939,34.7,20.5,21,17.5,4.15
0.915,38.8,22.2,21,17,5.04
0.965,36,21.1,21,16,4.04
0.946,38.4,22.8,21,17,4.77
0.943,36.1,21.2,21,16,5.17
0.927,34.7,19.1,21,21,4.62
0.992,35.7,20.3,21,17.5,5.73
1.003,36.7,20.1,21,18.5,5.79
0.955,37.8,21.3,22,17.5,4.89
0.933,35.8,20.2,22,19,6.93
0.972,35.9,21.3,22,19.5,6.55
0.878,33.5,18.2,23,17.5,5.81
0.883,32.9,20.2,17,22.5,6.47
0.951,36,21.7,21,21,5.8
0.891,35.9,20.5,23,18.5,5.59
1.002,38.5,22.3,21,19.5,5.68
0.91,33.6,18.3,23,18.5,5.24
0.998,38.5,22.2,17,19,3.68
0.974,36.9,21.6,19,19,6.97
0.96,36.3,19.9,19,19,5.27
1.081,38.8,21.9,20,17.5,3.4
0.99,33.2,21.1,14,23.5,4.35
0.986,37.1,21.2,17,17.5,4.83
1.079,38.9,22.7,19,16,4.27
0.985,37.2,21.6,17,17.5,4.43
1.078,38.9,22.1,17,20.5,4.75
1.053,37.6,20.9,17,15.5,3.85
1.073,38.3,21.9,19,17,3.79
1.119,40.2,23,19,12.5,3.64
1.148,40.8,22.8,19,15.5,3.35
1.093,40.2,23,17,14,3.39
1.094,38.4,21.2,17,12.5,4.13
0.945,31.9,19.7,17,23.5,6.01
0.887,32.9,19.2,16,23.5,5.22
0.826,32.6,19.5,17,23.5,5.69
0.891,36.2,21.7,19,19.5,6.19
0.947,35.3,20.4,20,19.5,5.62
0.944,36.6,20.9,21,18.5,6.26
0.93,33.5,19.7,17,21,6.16
0.882,31.6,18.9,14,23,5.26
0.888,32,19.6,14,22.5,6.06
0.905,36.1,20.6,21,22.5,5.13
0.921,36.6,21.7,21,19,5.36
0.899,37.6,22.9,20,17,6.21
0.824,33.9,20.1,14,23.5,6.19
0.912,37.4,22.6,21,19,5.05
0.971,35.6,21,16,18.5,4.63
1.028,36.7,20.3,17,17.5,4.39
0.846,31.5,18.9,14,23.5,6.33
0.842,31.3,18.9,14,23,6.99
0.931,36.1,21.7,21,16,5.71
0.877,31.3,17.9,14,22.5,7.09
0.858,34.6,20.7,17,21,6.67
0.868,32.1,19.8,14,23,5.25
0.844,29.7,17.3,16,24,5.65
0.908,32.7,19.2,14,23.5,5.54
0.818,33.2,20.8,17,24,6.1
0.816,30,17.8,17,25.5,7.38
0.829,33.7,20.4,16,24,6.23
0.838,34.4,21.7,17,24,6.35
0.796,32.4,20.1,20,24,6.58
0.865,32.1,20.6,16,24,6.41
0.894,32.4,19,23,22.5,5.79
0.945,38.8,22.1,21,20.5,5.26
0.878,36.1,21.5,21,21,5.92
0.903,33.7,20.8,14,24,8.03
0.936,29.9,17.8,16,25,6.42
0.905,32.8,19.8,16,25.5,6.1
0.917,33.4,18.9,21,19,5.58
0.86,31.6,19.4,19,23,5.94
0.887,32.9,20.2,19,23,7.1
0.825,30.6,20.5,14,25,7.49
0.847,32.2,18.6,14,25.5,6.19
1.081,38,20.9,19,17,3.15
1.082,40.3,21.9,20,12.5,4.71
0.908,38.9,22.7,26,20.5,6.12
0.961,38.4,22.3,26,17.5,6.26
0.937,36.7,20.1,26,21.5,6.03
0.883,31.7,18.3,16,23.5,5.56
0.966,35.3,21.1,21,18.5,5.95
0.847,35.3,19.6,23,18.5,5.9
0.864,33.2,19.1,23,17,6.55
1.004,37.3,22.5,21,18.5,6.24
0.838,34.9,19.8,24,21,6.09
0.844,36.2,21.6,23,21,6.31
0.818,33.1,19.2,17,23.5,7.53
0.97,32.5,18.2,17,17,4.29
0.989,34.2,18.5,17,21,4.4
0.98,36.8,20.7,19,18.5,4.47
0.961,35.3,20.7,20,18.5,4.14
1.103,39.5,22.3,19,16,3.43
1.075,38.6,21.3,19,17,3.26
1.033,37.4,21.6,20,17.5,3.88
1.018,36,20.1,17,15,4.33
1.045,37.9,20.4,17,19.5,4.2
1.042,42.2,22.1,17,12.5,4.68
1.015,36,20.9,19,17,4.23
1.001,35.3,20.8,17,17,4.65
1.033,40.1,22.6,19,17.5,4.69
1.053,40.3,21.9,19,17.5,4.11
0.982,36.1,21.7,17,14,4.56
1.007,34.1,19.8,19,18.5,4.01
0.992,34.6,19.6,17,17.5,5.85
0.995,36.7,21.4,19,16,4.58
0.966,33.6,19.4,21,19,5.75
1.018,36.4,20.5,17,15.5,4
1.065,40,22.6,19,16,3.92
0.968,33.5,19.1,17,17.5,3.93
1.061,38.9,21.4,17,14,3.15
0.977,35.8,20.4,19,19,3.7
0.971,35.2,19.1,20,19,3.86
1.083,43.4,23,15,14,4.3
1.028,39.6,21,16,11.5,4.44
1.023,41.2,23.2,21,15.5,4.88
1.036,41.3,21.5,20,14,5.32
0.937,40.9,21.1,19,17,5.13
1.054,42.4,22.6,17,17,3.52
1.066,41.5,22.9,16,16,4.48
1.025,40.2,22.7,17,15,4.19
1.062,42.2,23.6,19,17.5,3.38
1.136,43.1,21.3,17,17,4.64
1.016,42,21.9,17,17.5,4.64
1.146,40.9,21.9,26,12.5,4.15
0.799,31.3,18.5,17,25,5.69
0.949,36.9,20.6,21,18.5,5.86
0.925,34.8,19.9,21,21,6.07
0.896,38,19.8,21,14,5.03
1.028,38.4,21.1,21,15.5,3.49
0.818,34.4,19.3,21,18.5,6.35
1.048,38,21.3,20,17.5,6.28
0.968,36.2,20.1,21,21.5,6.26
0.927,38.6,20.5,21,15.5,7.17
0.861,33,19.6,19,25,6.41
1.03,40.1,20.6,21,17.5,4.28
1.087,41.2,22.5,21,17,4.02
0.917,40.3,22.1,24,16,5.8
0.868,41.4,23.1,26,15.5,6.3
0.834,40.5,21.7,26,15,6.98
0.909,40.7,22.8,24,15,6.48
0.918,41,22.8,24,15,6.37
0.899,40.1,21.3,26,15,6.86
0.921,39.4,21.8,26,15,6.6
0.936,34.3,20,21,17,4.65
1.063,38.4,22.8,19,18.5,5.57
1.036,37.4,22,21,19.5,4.37
0.991,30.2,18.1,17,24,4.58
1.025,37.3,20.8,19,17,5.67
0.929,31,18.6,14,22.5,6.12
0.949,34.2,20,19,19.5,5.68
0.934,34.4,19.2,21,18.5,6.23
0.964,35.3,20.4,21,19.5,4.31
1.007,35.4,19.6,21,17,4.21
0.991,35.4,20.6,20,15.5,6.1
0.945,34.7,19.5,21,19.5,5.9
0.973,35.2,20.2,21,19,5.54
0.949,34,19.6,21,19,5.39
0.884,35.2,19.2,21,17.5,5.51
0.946,35,20.2,23,19,6.02
0.942,32.5,19.3,16,22.5,5.32
0.945,35.5,20.8,21,17.5,4.91
0.981,36.3,19.7,23,18.5,6.93
0.962,34.9,19.9,21,17.5,4.14
0.92,32.4,20,16,23.5,5.41
0.899,35.3,21.1,21,17,5.47
0.926,32.3,18.8,16,23,7.74
0.991,35,19.5,21,19,5.07
0.93,36.7,21.9,21,17,4.71
0.92,31.9,18.6,14,22.5,5.58
0.962,34.7,20,23,17,4.23
1.016,35.9,19.3,20,17,4.24
0.943,35.5,19.3,21,20.5,5.55
0.962,34,19.7,21,17.5,5.37
1.115,42.5,22.9,14,12.5,5.92
0.981,39.3,21.6,19,15.5,6.06
0.978,42.5,22.3,21,15,6.33
0.955,30.9,17.3,14,26,5.92
0.876,34.9,20.1,24,19,4.84
1.048,38.7,21.4,14,12.5,7.04
0.892,35.8,19.2,23,22.5,5.23
0.994,32.9,19.9,14,25,5.76
1.016,37.9,21.8,21,19,4.19
0.995,37.7,22.1,21,17.5,6.04
0.928,36.3,21.1,21,15.5,5.06
0.912,42.4,22.9,20,19.5,5.87
0.91,34.8,22.6,17,23.5,6.18
1.021,37.7,23.1,24,19,5.45
0.957,34.9,21.3,17,25,5.31
0.961,34.6,20.5,23,19,5.56
1.019,38.2,23.4,19,19,5.16
0.98,36.9,22,26,19.5,4.96
0.955,31.7,18.2,21,19.5,4.98
0.983,36.3,20.8,24,17,5.62
1.003,35.9,19.9,21,18.5,5.17
1.022,36.8,20.2,21,19,4.21
0.958,36.4,21,23,20.5,4.46
0.952,34.1,19.9,21,17.5,5.92
0.991,31,18.9,14,22.5,4.78
0.933,29.5,18.6,17,25.5,4.91
1.012,38.4,22.2,21,19.5,4.43
0.904,36.1,22.2,14,25,4.11
0.965,33.2,19.9,16,22.5,4.89
0.964,35.8,20.5,20,18.5,4.46
0.949,36.4,22,21,19.5,5.62
0.945,33.6,21.6,16,23,4.89
0.921,34.1,20.7,14,24,6.56
0.945,30.8,17.8,16,23.5,6.01
0.868,32,19.4,17,25.5,5.09
0.853,32.1,18.6,17,24,6.15
0.865,32.1,19.4,17,24,5.18
0.875,32.5,19.1,16,22.5,5.25
0.891,31.9,20.6,17,23,5.88
0.832,32.8,20.1,19,25.5,5.19
0.899,34,19.8,20,18.5,5.57
0.857,30.9,18.8,19,27,5.56
0.885,30.2,18,17,24,6.29
0.856,31.9,19.8,16,24,5.24
0.85,33.3,20.2,17,23,7.37
0.853,32.6,20.2,17,23.5,4.53
0.818,30.7,19,17,23.5,6.35
0.842,34,20.4,14,25.5,5.95
0.834,31.3,17.9,19,25.5,7.58
0.915,36.5,21.9,21,21,5.36
0.816,34.3,21.5,14,22.5,5.27
0.864,34.1,20.4,14,27.5,7.65
0.773,29.1,17.5,14,28,6.55
0.881,35.4,20.4,23,18.5,6.8
0.877,33.3,19.7,17,25.5,6.17
0.945,32.1,19.1,17,23,5.78
0.861,32.1,18.4,19,23.5,6.39
0.877,30.4,17.6,19,24,5.93
0.895,32.6,19.2,17,24,6.1
0.868,34.7,18.9,23,19,6.61
0.9,33.3,20.2,19,23.5,6.15
0.904,38.5,21.5,26,19,7.27
0.791,30.6,17.5,19,23.5,7.81
0.876,34.6,20.8,17,22.5,8.73
0.768,30.6,16.9,17,23.5,6.79
0.866,34.7,19.8,24,18.5,5.17
0.854,31.9,19.4,17,25.5,7.12
0.873,35.7,20.6,21,19.5,5.21
0.76,29.8,16.2,19,22.5,6.08
0.88,32.2,19.8,17,23.5,6.74
0.87,33.3,19.5,17,23,6.78
0.882,36.6,20.7,24,19,6.62
0.843,32.9,19.7,17,23.5,8.91
0.879,38.3,21.3,23,18.5,6.35
0.89,34.1,20.3,17,23,6.8
0.9,33.2,19.4,16,23,6.22
0.85,34.8,19.3,24,19,7.04
0.818,30.7,19,17,23.5,6.35
0.842,34,20.4,14,25.5,5.95
0.834,31.3,17.9,19,25.5,7.58
0.915,36.5,21.9,21,21,5.36
0.816,34.3,21.5,14,22.5,5.27
0.864,34.1,20.4,14,27.5,7.65
0.773,29.1,17.5,14,28,6.55
0.996,31.1,18.4,17,24,5.84
0.904,31,18,19,25.5,6.76
0.891,31.1,19.9,19,23.5,6.16
0.895,34,20.4,19,22.5,7
0.782,28.2,16,14,25,5.22
0.936,30.7,18.3,14,23.5,6.96
0.927,31.5,17.6,14,25,4.85
0.924,31.4,19,14,26,5.8
0.972,35.6,20.5,21,18.5,5.35
0.99,37.2,21.6,17,19,3.77
0.888,35,19,21,18.5,4.92
0.837,31.2,18.2,17,23.5,6.54
0.954,34.4,20.9,14,23.5,4.32
0.699,30.8,18,21,23.5,5.95
0.921,34.1,21.1,16,23,5.92
0.999,35,20.4,20,20.5,5.28
1.024,36.7,20.8,21,19.5,4.45
1.033,37.3,20.9,20,20.5,4.18
0.91,35.6,19.6,21,21,4.06
0.946,32.9,18.9,17,23.5,4.16
0.92,35.7,20.5,21,21,6.13
0.943,31.3,19.3,14,26,4.87
0.905,32.7,18.8,14,25.5,5.31
0.904,31,18,16,25,4.41
1.005,35.9,20.3,20,21,4.78
0.818,31,17.7,17,23,6.11
0.752,27.5,16.5,17,23,6.47
0.924,32.4,19.1,16,23,6.92
0.946,34.3,19.4,21,19.5,6.93
0.897,32.6,18.9,17,24,6.22
0.866,32.6,19.9,17,23.5,6.56
0.847,32.5,19,17,23.5,5.6
0.871,30.9,18.2,16,25.5,6.01
0.749,30,17.3,20,25,5.77
0.761,31.5,18.6,17,23,6.15
0.902,34,19.4,23,19,7.36
0.804,29.8,17.5,16,21,7.76
0.805,33.3,18.9,29,21.5,7.96
0.735,31.1,17.9,20,21.5,7.16
0.933,36.9,20.6,23,19.5,5.51
0.951,32.1,19.6,14,25.5,5.1
0.901,35.4,19.7,21,18.5,7.06
0.869,34.4,18.8,21,22.5,7.7
0.871,35.5,19.8,21,21.5,6.49
0.854,32.3,19.5,17,27.5,7.78
0.838,33.3,20.2,17,25,7.72
0.808,33.3,20.4,19,23.5,6.35
0.843,35,20.5,21,20.5,7.41
0.838,32.9,19.6,14,23.5,7.97
0.797,32.2,20.1,29,25,8.88
0.887,30.4,17.8,14,23.5,7.81
0.875,30.7,18,29,24,6.58
0.844,32.4,20.3,19,25,6.17
0.823,32.1,19.4,29,23.5,7.04
0.829,32.7,19.7,29,23.5,5.24
0.866,37.6,21.7,21,21.5,7.72
0.765,32.4,19.4,29,25.5,7.35
0.838,31.3,19.2,29,23.5,7.84
0.986,34.1,20.7,16,25,5.39
0.983,35.3,20.2,20,19.5,3.94
0.923,28,17.7,14,27.5,6.37
0.864,33,18.3,20,19.5,5.54
0.964,32.4,18.9,16,22.5,4.11
0.913,32.3,18.6,16,23.5,6.42
0.881,29.8,16.1,16,22.5,6.05
0.904,31.1,17.2,14,27,7.89
0.986,36,20.1,19,21.5,4.18
1.022,37.8,21.2,21,21,4.62
0.953,34.4,19.7,21,19,6.08
0.851,34.8,21.3,19,23.5,4.93
0.871,32.2,18.2,17,22.5,7.81
0.873,31.1,18.6,19,25,5.8
0.952,32.4,18.8,16,23,5.33
0.911,32,19.3,17,22.5,8.33
0.901,28.7,16.7,14,23.5,6.64
0.651,32.4,18.7,29,23.5,10.56
